company Name,totalCFOA,totalCFIA,totalCFFA,ChangeCash,revenue,costOfRevenue,grossProfit,operatingIncome,earningsBIT,interestExpense,netIncome,cashEquivalents,netReceivables,inventory,currentAssets,longTermInvestments,fixedAssets,totalAssets,shortTermDebt,currentLiabilities,longTermDebt,totalLiabilities,totalSHEquity,netTangibleAs
Duke Energy Corporation (DUK),6382000,4978000,1327000,77000,24598000,15094000,9504000,4982000,5466000,1546000,2665000,1501000,3005000,3250000,10516000,5522000,69490000,114779000,2943000,8644000,38152000,73449000,41330000,24990000
"American Electric Power Co., Inc. (AEP)",4106000,3818000,449000,161000,15357000,6738000,8619000,2855000,3016000,906000,1480000,188000,1860000,1423000,4310000,2229000,40997000,56414000,2396000,6112000,16828000,40329000,16085000,15994000
"NextEra Energy, Inc. (NEE)",5102000,6123000,1130000,109000,15136000,8152000,6984000,3241000,3642000,1121000,1908000,438000,3042000,1153000,5842000,2284000,52720000,69306000,5295000,9189000,23969000,51266000,18040000,18040000
The AES Corporation (AES),2715000,1774000,1136000,258000,15891000,12644000,3247000,2560000,2759000,1482000,114000,2239000,2529000,684000,7739000,1010000,25112000,40411000,2180000,7653000,18869000,32682000,4330000,2411000
PG&E Corporation (PCG),3427000,5107000,1575000,105000,15598000,11759000,3839000,1762000,1811000,715000,828000,597000,2431000,454000,5977000,2427000,41252000,55605000,2063000,7493000,12717000,41011000,14342000,14342000
FirstEnergy Corp. (FE),2662000,3093000,477000,46000,14917000,6459000,8458000,1607000,1511000,941000,392000,218000,2284000,752000,3887000,3071000,33520000,50424000,4930000,7637000,16121000,37732000,12692000,6274000
Exelon Corporation (EXC),6343000,5394000,826000,123000,24888000,17994000,6894000,3656000,4129000,1356000,1729000,1776000,4729000,1105000,10137000,11790000,47330000,79924000,2009000,7728000,18271000,56999000,22925000,20300000
Edison International (EIX),3203000,3808000,581000,24000,12581000,8673000,3908000,1715000,1765000,544000,1015000,146000,1855000,256000,3312000,4952000,30455000,46646000,962000,4881000,9825000,36708000,9938000,9938000
"Consolidated Edison, Inc. (ED)",2552000,2659000,387000,280000,12354000,4054000,8300000,2244000,2257000,719000,1062000,674000,2127000,363000,3891000,461000,28436000,40647000,1949000,4730000,10490000,28402000,12245000,11812000
Sempra Energy (SRE),1784000,1689000,338000,429000,10557000,7186000,3371000,1684000,1989000,559000,1009000,928000,1912000,287000,3997000,2648000,25460000,37244000,1747000,4369000,11408000,26216000,11008000,9558000
Southern Company (SO),6097000,5742000,324000,31000,17087000,9817000,7270000,3255000,3383000,824000,1710000,659000,1932000,2298000,5599000,1465000,52091000,64546000,1951000,5536000,21344000,44407000,19764000,19764000
Xcel Energy Inc. (XEL),2584036,3213384,654169,24821,10914922,7408278,3506644,1847555,2007409,575199,948234,107144,1772592,576538,3218040,1840832,26122159,33907490,1063145,3654498,10910754,24341540,9565950,9565950
Public Service Enterprise Group Inc. (PEG),3158000,2801000,243000,114000,9968000,6423000,3545000,2299000,2457000,402000,1243000,493000,1636000,1024000,3614000,3201000,21645000,32522000,680000,3063000,7862000,20914000,11608000,11559000
DTE Energy Company (DTE),2154000,1906000,261000,13000,9661000,7033000,2628000,1203000,1358000,436000,661000,175000,1669000,628000,2806000,1923000,15800000,25935000,1224000,3189000,7214000,18014000,7921000,5781000
Entergy Corporation (ETR),3189219,2601593,380824,206557,11390947,7588885,3802062,1354999,1586090,629537,730572,739126,1347259,1123964,3929691,5154110,28081019,43406446,1506305,4060572,12171367,33469220,9726466,9349294
PPL Corporation (PPL),2857000,4295000,1631000,201000,11860000,4474000,7386000,2339000,2315000,1006000,1130000,1185000,2101000,702000,5153000,1244000,33087000,46259000,1845000,4912000,20592000,33793000,12466000,7294000
"Dominion Resources, Inc. (D)",3433000,3458000,93000,68000,13120000,8033000,5087000,3316000,3581000,877000,1697000,936000,2614000,1176000,5940000,5102000,32628000,50096000,4274000,6994000,19330000,38197000,11642000,7996000
Ameren Corporation (AEE),1693000,1723000,149000,179000,5838000,3490000,2348000,1184000,1227000,398000,295000,30000,1010000,526000,1972000,494000,16205000,21042000,954000,2461000,5504000,14498000,6544000,6111000
CMS Energy Corp. (CMS),1421000,1532000,190000,79000,6566000,4562000,2004000,1142000,1157000,401000,454000,204000,1113000,881000,2526000,705000,12246000,17416000,732000,1945000,7239000,13925000,3454000,3454000
NiSource Inc. (NI),1436800,1891400,445100,9500,5657300,1815500,3841800,1143400,1167600,414800,532100,34800,1081500,500400,2159200,578200,14365100,22653900,1242200,3178400,7593200,16767300,5886600,1944700
SCANA Corp. (SCG),1050000,946000,40000,64000,4495000,2987000,1508000,910000,991000,297000,471000,136000,802000,362000,1421000,86000,12061000,15164000,438000,1442000,5395000,10500000,4664000,4664000
"Pepco Holdings, Inc. (POM)",497000,411000,88000,2000,4666000,3067000,1599000,668000,702000,273000,212000,36000,1120000,148000,1398000,81000,9704000,14848000,1020000,2313000,4327000,10533000,4315000,2908000
Wisconsin Energy Corp. (WEC),1231000,745800,494800,9600,4519000,2982100,1536900,1080100,1167400,252100,577400,26000,1037100,329400,1551100,438800,10906600,14769400,879600,1496400,4363200,10506000,4263400,3821500
"CenterPoint Energy, Inc. (CNP)",1613000,1300000,751000,438000,8106000,5755000,2351000,1010000,1265000,484000,311000,208000,1249000,285000,2658000,4891000,9593000,21870000,1012000,3019000,7817000,17541000,4329000,3489000
Northeast Utilities (NU),1663539,1441223,224700,2384,7301204,3997940,3303264,1529435,1559329,338699,786007,43364,990373,303233,2087049,562670,17576186,27795537,1626346,3275651,7776833,18028441,9611528,6092127
Pinnacle West Capital Corporation (PNW),1153307,1009401,160582,16676,3454628,2020436,1434192,846323,872445,201888,439966,9526,620166,259710,1043609,665822,10731296,13508686,725441,1618644,2796465,9314216,4194470,4036781
Alliant Energy Corporation (LNT),731000,754700,12300,11400,3276800,2272400,1004400,533900,608800,172800,376200,9800,310800,211800,1011200,329600,8326500,11112400,637900,1433300,2977800,7631000,3481400,3481400
Vectren Corporation (VVC),587000,405100,179900,2000,2491200,561000,1930200,333600,291600,87900,136600,21500,393400,134400,630400,57800,3919600,5102600,98600,510500,1777100,3548300,1554300,1292000
AGL Resources Inc. (GAS),971000,876000,121000,26000,4209000,2997000,1212000,639000,655000,170000,295000,81000,1493000,658000,2895000,133000,8643000,14550000,1246000,3118000,3813000,10982000,3568000,1596000
"Westar Energy, Inc. (WR)",702803,641901,62244,1342,2370654,1172461,1198193,579185,606751,182167,292520,4487,287963,239511,706798,175625,7848542,9597111,412079,955399,3163760,6528580,3062774,3062774
Great Plains Energy Incorporated (GXP),776800,705800,69700,1300,2446300,1390000,1056300,569200,578000,198400,250200,11400,428000,228700,767000,183900,7746400,9795400,293300,769800,3515700,6282000,3513400,3344400